kaz	rus	category1
котлет	котлета	Продукты / Азық-түлік
кофе	кофе	Продукты / Азық-түлік
көже (сорпа)	суп	Продукты / Азық-түлік
көкөніс	овощи	Продукты / Азық-түлік
күнбағыс майы	подсолнечное масло	Продукты / Азық-түлік
күрке тауық еті	индейка	Продукты / Азық-түлік
күріш	рис	Продукты / Азық-түлік
кілегей	сливки	Продукты / Азық-түлік
қаймақ	сметана	Продукты / Азық-түлік
қамыр	тесто	Продукты / Азық-түлік
қант	сахар	Продукты / Азық-түлік
қарақұмық жармасы	гречневая крупа	Продукты / Азық-түлік
қой еті	баранина	Продукты / Азық-түлік
қуырдақ	жаркое	Продукты / Азық-түлік
құймақ	блины	Продукты / Азық-түлік
қытырлақ	хворост	Продукты / Азық-түлік
қыша	горчица	Продукты / Азық-түлік
май	масло	Продукты / Азық-түлік
макарондар	макароны	Продукты / Азық-түлік
мәнті	манты	Продукты / Азық-түлік
мейіз	изюм	Продукты / Азық-түлік
минералды су	минеральная вода	Продукты / Азық-түлік
нан	хлеб	Продукты / Азық-түлік
орама	рулет	Продукты / Азық-түлік
палау	плов	Продукты / Азық-түлік
печенье	печенье	Продукты / Азық-түлік
саңырауқұлақ	гриб	Продукты / Азық-түлік
сары май	сливочное масло	Продукты / Азық-түлік
сарыуыз	желток	Продукты / Азық-түлік
сиыр еті	говядина	Продукты / Азық-түлік
сорпа	бульон	Продукты / Азық-түлік
сусын	напиток	Продукты / Азық-түлік
сүзбе	творог	Продукты / Азық-түлік
сүт	молоко	Продукты / Азық-түлік
сыра	пиво	Продукты / Азық-түлік
тамақ	еда	Продукты / Азық-түлік
тауық еті	куриное мясо	Продукты / Азық-түлік
тәттілер	сладости	Продукты / Азық-түлік
тосап	варенье	Продукты / Азық-түлік
тұз	соль	Продукты / Азық-түлік
тұшпара	пельмени	Продукты / Азық-түлік
уылдырық	икра	Продукты / Азық-түлік
ұн	мука	Продукты / Азық-түлік
фарш	фарш	Продукты / Азық-түлік
шай	чай	Продукты / Азық-түлік
шелпек	лепёшка	Продукты / Азық-түлік
шұжық	колбаса	Продукты / Азық-түлік
шұжықша	сосиска	Продукты / Азық-түлік
шырын	сок	Продукты / Азық-түлік
ірімшік	сыр	Продукты / Азық-түлік
алма	яблоко	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
алмұрт	груша	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
алхоры	слива	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
анар	гранат	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
апельсин	апельсин	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
ас бұршақ	горох	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
асқабақ	тыква	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
банан	банан	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
баялды (баклажан)	баклажан	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
бұрыш	перец	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
бүлдірген	ежевика	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
жүзім	виноград	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
картоп	картошка	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
кәді	кабачок	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
киви	киви	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қаражидек	черника	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қарақат	смородина	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қарбыз	арбуз	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қарлыған	крыжовник	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қауын	дыня	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қияр	огурец	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қойбүлдірген	земляника	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
құлпынай	клубника	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қызанақ	помидор	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
қызылша	свекла	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
мандарин	мандарин	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
лимон	лимон	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
орамжапырақ	капуста	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
өрік	урюк	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
пияз	лук	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
сарымсақ	чеснок	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
сәбіз	морковь	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
таңқурай	малина	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
үрмебұршақ	фасоль	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
шабдалы	персик	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
шалғам	редис	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
шалқан	репа	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
шие	вишня	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
інжір	инжир	Овощи, фрукты, ягоды / Көкөністер, жемістер, жидектер
айдаһар жылан	удав	Животные / Жануарлар
айдаһарша	удавчик	Животные / Жануарлар
ақбөкен (киік)	сайгак	Животные / Жануарлар
ақкіс	горностай	Животные / Жануарлар
арыстан	лев	Животные / Жануарлар
ат	конь	Животные / Жануарлар
Атжалман (алақоржын)	хомяк	Животные / Жануарлар
аю	медведь	Животные / Жануарлар
бақа	лягушка	Животные / Жануарлар
балапан	цыплёнок	Животные / Жануарлар
борсық	барсук	Животные / Жануарлар
бота	верблюжонок	Животные / Жануарлар
бұғы	олень	Животные / Жануарлар
бұзау	телёнок	Животные / Жануарлар
бұқа	бык	Животные / Жануарлар
бұлан	лось	Животные / Жануарлар
бұлғын	соболь	Животные / Жануарлар
горилла	горилла	Животные / Жануарлар
доңыз (қабан)	кабан	Животные / Жануарлар
егеуқұйрық	крыса	Животные / Жануарлар
елік	косуля	Животные / Жануарлар
есек	осёл, ишак	Животные / Жануарлар
ешкі	коза	Животные / Жануарлар
жайра	дикобраз	Животные / Жануарлар
жарғанат	летучая мышь	Животные / Жануарлар
жолбарыс	тигр	Животные / Жануарлар
жылан	змея	Животные / Жануарлар
жылқы	лошадь	Животные / Жануарлар
зебра	зебра	Животные / Жануарлар
зорман	суслик большой	Животные / Жануарлар
ит	собака	Животные / Жануарлар
итбалық	тюлень, нерпа	Животные / Жануарлар
кәмшат	выдра	Животные / Жануарлар
келес	варан	Животные / Жануарлар
кенгуру	кенгуру	Животные / Жануарлар
керік	жираф	Животные / Жануарлар
кесіртке	ящерица	Животные / Жануарлар
коала	коала	Животные / Жануарлар
көжек	зайчонок	Животные / Жануарлар
көртышқан	крот	Животные / Жануарлар
күзен	хорёк	Животные / Жануарлар
күшік	щенок	Животные / Жануарлар
кірпі	ёж	Животные / Жануарлар
қабылан	гепард	Животные / Жануарлар
қаракүзен	норка	Животные / Жануарлар
қасқыр (бөрі)	волк	Животные / Жануарлар
қодық	ослёнок	Животные / Жануарлар
қозы	ягнёнок	Животные / Жануарлар
қой	овца, баран	Животные / Жануарлар
қолтырауын	крокодил	Животные / Жануарлар
қонжық	медвежонок	Животные / Жануарлар
қорқау	гиена	Животные / Жануарлар
қосаяқ	тушканчик	Животные / Жануарлар
қоян	заяц	Животные / Жануарлар
құлан	кулан	Животные / Жануарлар
құлын	жеребёнок	Животные / Жануарлар
құндыз	бобр	Животные / Жануарлар
құну	росомаха	Животные / Жануарлар
құрбақа	жаба	Животные / Жануарлар
лақ	козлёнок	Животные / Жануарлар
маймыл	обезьяна	Животные / Жануарлар
марғау	котёнок	Животные / Жануарлар
мүйізтұмсық	носорог	Животные / Жануарлар
мысық	кошка	Животные / Жануарлар
өрмекші	паук	Животные / Жануарлар
піл	слон	Животные / Жануарлар
сарышұнақ	суслик маленький	Животные / Жануарлар
сиыр	корова	Животные / Жануарлар
сусар	куница	Животные / Жануарлар
сусиыр	бегемот	Животные / Жануарлар
суыр	сурок	Животные / Жануарлар
сұржылан	гадюка	Животные / Жануарлар
сілеусін	рысь	Животные / Жануарлар
тасбақа	черепаха	Животные / Жануарлар
теке	козёл	Животные / Жануарлар
теңбілшер	ягуар	Животные / Жануарлар
тиін	белка	Животные / Жануарлар
тоқалтіс	полёвка	Животные / Жануарлар
торай	поросёнок	Животные / Жануарлар
түйе	верблюд	Животные / Жануарлар
түлкі	лиса	Животные / Жануарлар
тышқан	мышь	Животные / Жануарлар
ұлу	улитка	Животные / Жануарлар
ұшар	летяга	Животные / Жануарлар
үй қояны	кролик	Животные / Жануарлар
шаян	рак	Животные / Жануарлар
шиебөрі	шакал	Животные / Жануарлар
шошқа	свинья	Животные / Жануарлар
ірбіс	леопард	Животные / Жануарлар
айқабақ	камышёвка	Птицы / Құстар
ақсұңқар	кречет	Птицы / Құстар
ақтұмсық қарға	грач	Птицы / Құстар
әтеш (қораз)	петух	Птицы / Құстар
бәбісек	удод	Птицы / Құстар
бозторғай	жаворонок	Птицы / Құстар
бөдене	перепел, перепёлка	Птицы / Құстар
бүркіт	беркут	Птицы / Құстар
бірқазан	пеликан	Птицы / Құстар
дегелек (ләйлек)	аист	Птицы / Құстар
жапалақ	сова	Птицы / Құстар
жорғаторғай	сойка	Птицы / Құстар
жұртшы	стервятник	Птицы / Құстар
ителгі	сокол-балобан	Птицы / Құстар
кептер (көгершін)	голубь	Птицы / Құстар
көкек	кукушка	Птицы / Құстар
көкшымшық	синица	Птицы / Құстар
күркетауық	индюк	Птицы / Құстар
қаз	гусь	Птицы / Құстар
қараторғай	скворец	Птицы / Құстар
қарға	ворона	Птицы / Құстар
қарлығаш	ласточка	Птицы / Құстар
қаршыға	ястреб	Птицы / Құстар
қоқиқаз	фламинго	Птицы / Құстар
құнақ	вьюрок	Птицы / Құстар
құр	тетерев	Птицы / Құстар
құтан	цапля	Птицы / Құстар
қыран	орёл	Птицы / Құстар
қырғауыл	фазан	Птицы / Құстар
мысықторғай	иволга	Птицы / Құстар
наурызек	трясогузка	Птицы / Құстар
пайызторғай	щегол	Птицы / Құстар
сайрауық	дрозд	Птицы / Құстар
сандуғаш	славка	Птицы / Құстар
сауысқан	сорока	Птицы / Құстар
суқұзғын	баклан	Птицы / Құстар
суықторғай	снегирь	Птицы / Құстар
сұрқарлығаш	стриж	Птицы / Құстар
тазқара	гриф чёрный	Птицы / Құстар
тауық	курица	Птицы / Құстар
тауыс	павлин	Птицы / Құстар
тоқылдақ	дятел	Птицы / Құстар
торғай	воробей	Птицы / Құстар
тоты (тотықұс)	попугай	Птицы / Құстар
түйеқұс	страус	Птицы / Құстар
түркептер	горлица	Птицы / Құстар
ұзақ	галка	Птицы / Құстар
ұлар	улар	Птицы / Құстар
үйрек	утка	Птицы / Құстар
үкі	филин	Птицы / Құстар
шағала	чайка	Птицы / Құстар
шұбар шымшық (жаураулық)	зяблик	Птицы / Құстар
шымшық	чиж	Птицы / Құстар
шіл	куропатка	Птицы / Құстар
ара	пчела	Насекомые / Жәндіктер
бит	вошь	Насекомые / Жәндіктер
бөгелек	овод	Насекомые / Жәндіктер
бүрге	блоха	Насекомые / Жәндіктер
инелік	стрекоза	Насекомые / Жәндіктер
кене	клещ	Насекомые / Жәндіктер
көбелек	бабочка	Насекомые / Жәндіктер
қандала	клоп	Насекомые / Жәндіктер
қоңыз	жук	Насекомые / Жәндіктер
құмырсқа	муравей	Насекомые / Жәндіктер
маса	комар	Насекомые / Жәндіктер
тарақан	таракан	Насекомые / Жәндіктер
түкті ара	шмель	Насекомые / Жәндіктер
шегіртке	кузнечик	Насекомые / Жәндіктер
шыбын	муха	Насекомые / Жәндіктер
алабұға	окунь	Рыбы / Балықтар
бахтах	форель	Рыбы / Балықтар
бекіре	осётр	Рыбы / Балықтар
көксерке	судак	Рыбы / Балықтар
қаракөз	вобла	Рыбы / Балықтар
майшабақ	сельдь	Рыбы / Балықтар
сазан	сазан	Рыбы / Балықтар
тұқы	карп	Рыбы / Балықтар
шортан	щука	Рыбы / Балықтар
азу тіс	коренной зуб	Части тела / Дене мүшелерi
ақыл тіс	зуб мудрости	Части тела / Дене мүшелерi
алақан	ладонь	Части тела / Дене мүшелерi
арқа	спина	Части тела / Дене мүшелерi
асқазан	желудок	Части тела / Дене мүшелерi
атыжоқ саусақ	безымянный палец	Части тела / Дене мүшелерi
ауыз	рот	Части тела / Дене мүшелерi
аяқ	нога	Части тела / Дене мүшелерi
балтыр	голень	Части тела / Дене мүшелерi
бас	голова	Части тела / Дене мүшелерi
бас сүйек	череп	Части тела / Дене мүшелерi
басбармақ	большой палец руки	Части тела / Дене мүшелерi
бауыр	печень	Части тела / Дене мүшелерi
башпай	большой палец ноги	Части тела / Дене мүшелерi
бел	поясница	Части тела / Дене мүшелерi
бет	лицо	Части тела / Дене мүшелерi
бөксе	ягодица	Части тела / Дене мүшелерi
бүйрек	почка	Части тела / Дене мүшелерi
бүйір	бок	Части тела / Дене мүшелерi
білек	запястье	Части тела / Дене мүшелерi
ерін	губа	Части тела / Дене мүшелерi
жақ	щека	Части тела / Дене мүшелерi
жақ сүйек	челюсти	Части тела / Дене мүшелерi
жауырын	лопатка	Части тела / Дене мүшелерi
желке	затылок	Части тела / Дене мүшелерi
жұдырық	кулак	Части тела / Дене мүшелерi
жұлын	спинной мозг	Части тела / Дене мүшелерi
жүрек	сердце	Части тела / Дене мүшелерi
иек	подбородок	Части тела / Дене мүшелерi
иық	плечо	Части тела / Дене мүшелерi
кеуде	грудь	Части тела / Дене мүшелерi
көз	глаз	Части тела / Дене мүшелерi
күрек тіс	передний зуб	Части тела / Дене мүшелерi
кірпік	ресница	Части тела / Дене мүшелерi
қабақ	веко	Части тела / Дене мүшелерi
қан	кровь	Части тела / Дене мүшелерi
қарын	живот, желудок	Части тела / Дене мүшелерi
қас	бровь	Части тела / Дене мүшелерi
қол	рука	Части тела / Дене мүшелерi
қолтық	подмышка	Части тела / Дене мүшелерi
құлақ	ухо	Части тела / Дене мүшелерi
қызыл иек	десна	Части тела / Дене мүшелерi
маңдай	лоб	Части тела / Дене мүшелерi
ми	мозг	Части тела / Дене мүшелерi
мойын	шея	Части тела / Дене мүшелерi
мұрт	усы	Части тела / Дене мүшелерi
мұрын	нос	Части тела / Дене мүшелерi
омыртқа	позвоночник	Части тела / Дене мүшелерi
ортаңғы саусақ	средний палец	Части тела / Дене мүшелерi
өкпе	лёгкие	Части тела / Дене мүшелерi
өкше	пятка	Части тела / Дене мүшелерi
сақал	борода	Части тела / Дене мүшелерi
самай (шеке)	висок	Части тела / Дене мүшелерi
саусақ (бармақ)	палец	Части тела / Дене мүшелерi
сұқ саусақ	указательный палец	Части тела / Дене мүшелерi
сүт тіс	молочный зуб	Части тела / Дене мүшелерi
тамақ	горло	Части тела / Дене мүшелерi
тері	кожа	Части тела / Дене мүшелерi
тырнақ	ноготь	Части тела / Дене мүшелерi
тізе	колено	Части тела / Дене мүшелерi
тіл	язык	Части тела / Дене мүшелерi
тіс	зуб	Части тела / Дене мүшелерi
шаш	волосы	Части тела / Дене мүшелерi
шынашақ	мизинец	Части тела / Дене мүшелерi
шынтақ	локоть	Части тела / Дене мүшелерi
іш	живот (внутренность)	Части тела / Дене мүшелерi
жүн	шерсть, пух	Части телаживотных и птиц
қанат	крыло	Части телаживотных и птиц
құйрық	хвост	Части телаживотных и птиц
тұмсық	хобот, клюв	Части телаживотных и птиц
тұяқ	копыто	Части телаживотных и птиц
адам	человек	Люди / Адамдар
ақылшы	советчик, наставник	Люди / Адамдар
алаяқ	мошенник, аферист	Люди / Адамдар
алушы	получатель	Люди / Адамдар
әріптес	коллега, партнер	Люди / Адамдар
бақас (бақталас)	конкурент, завистник	Люди / Адамдар
бәсекелес	конкурент, соперник	Люди / Адамдар
бейтаныс	незнакомец	Люди / Адамдар
бозбала	юноша	Люди / Адамдар
бойжеткен	девушка	Люди / Адамдар
дос	друг	Люди / Адамдар
ер (ер адам, еркек)	мужчина	Люди / Адамдар
ересек	взрослый	Люди / Адамдар
жазылушы	подписчик	Люди / Адамдар
жасөспірім	подросток	Люди / Адамдар
жастар	молодежь	Люди / Адамдар
жау (дұшпан)	враг	Люди / Адамдар
жеңіскер	победитель, чемпион	Люди / Адамдар
жерлес	земляк	Люди / Адамдар
жолаушы	пассажир	Люди / Адамдар
жолдас, серік	попутчик	Люди / Адамдар
жұмыс беруші	работодатель	Люди / Адамдар
жігіт	парень	Люди / Адамдар
зейнеткер	пенсионер	Люди / Адамдар
келуші	посетитель	Люди / Адамдар
кемпір	старуха	Люди / Адамдар
көрші	сосед	Люди / Адамдар
курстас	сокурсник	Люди / Адамдар
кісі	человек	Люди / Адамдар
қария	пожилой человек	Люди / Адамдар
қарсылас	противник	Люди / Адамдар
қарт	старик	Люди / Адамдар
қожа	хозяин, владелец	Люди / Адамдар
қонақ	гость	Люди / Адамдар
қоюшы	поставщик	Люди / Адамдар
құрбы	подруга	Люди / Адамдар
құрбылас	сверстник	Люди / Адамдар
қыз бала	девочка	Люди / Адамдар
нәресте	младенец	Люди / Адамдар
салымшы	вкладчик	Люди / Адамдар
сатып алушы	покупатель	Люди / Адамдар
сәби	малыш	Люди / Адамдар
серіктес	партнер, соучастник	Люди / Адамдар
сыныптас	одноклассник	Люди / Адамдар
табынушы	поклонник	Люди / Адамдар
таныс	знакомый	Люди / Адамдар
тапсырыс беруші	заказчик	Люди / Адамдар
тұрғын	житель, жилец	Люди / Адамдар
ұл бала	мальчик	Люди / Адамдар
чемпион	чемпион	Люди / Адамдар
шебер	мастер	Люди / Адамдар
абысын	невестка, жена брата	Родственники / Туыстар
аға	старший брат, дядя	Родственники / Туыстар
ағайын	родные	Родственники / Туыстар
ақсақал	старец, дедушка, старейшина	Родственники / Туыстар
ана	мать	Родственники / Туыстар
апа	тетя	Родственники / Туыстар
арғы ата	прадед	Родственники / Туыстар
ата	дедушка	Родственники / Туыстар
ата-ана	родители	Родственники / Туыстар
ата-баба	предок	Родственники / Туыстар
әже	бабушка	Родственники / Туыстар
әйел	женщина, жена	Родственники / Туыстар
әке	отец	Родственники / Туыстар
әке-шеше	родители	Родственники / Туыстар
әпке	старшая сестра	Родственники / Туыстар
бажа	свояк	Родственники / Туыстар
бала	ребёнок, мальчик	Родственники / Туыстар
бала-шаға	дети	Родственники / Туыстар
егіз	близнец	Родственники / Туыстар
жар	жена	Родственники / Туыстар
жезде	зять, муж старшей сестры	Родственники / Туыстар
жеңге	жена старшего брата	Родственники / Туыстар
жиен	племянник, дети дочерей	Родственники / Туыстар
зайып (жұбай)	супруга	Родственники / Туыстар
келін	сноха, жена младшего брата	Родственники / Туыстар
күйеу	муж	Родственники / Туыстар
күйеу бала	зять, муж младшей сестры	Родственники / Туыстар
күйеу жігіт	жених	Родственники / Туыстар
кіндік ата	крестный отец	Родственники / Туыстар
кіндік шеше	крестная мать	Родственники / Туыстар
кіші, кенже	младший ребенок	Родственники / Туыстар
қайын жұрт	родственники по мужу или жене	Родственники / Туыстар
қалыңдық	невеста	Родственники / Туыстар
қарындас	младшая сестра (для мужчины)	Родственники / Туыстар
құда	сват	Родственники / Туыстар
құдаша	сватья	Родственники / Туыстар
қыз	девочка, дочка	Родственники / Туыстар
мұрагер	наследник	Родственники / Туыстар
нағашы	родственник по матери	Родственники / Туыстар
немере	внук, внучка	Родственники / Туыстар
сіңлі	младшая сестра (для женщины)	Родственники / Туыстар
тәте	тётя	Родственники / Туыстар
туған	родные	Родственники / Туыстар
туыс (туысқан)	родственник	Родственники / Туыстар
тұңғыш	первенец	Родственники / Туыстар
ұл	сын	Родственники / Туыстар
ұл бала	мальчик	Родственники / Туыстар
ұрпақ	потомок	Родственники / Туыстар
шеше	мама	Родственники / Туыстар
шөбере	правнук	Родственники / Туыстар
іні	младший брат	Родственники / Туыстар
інішек	братишка	Родственники / Туыстар
автор	автор	Профессии, занятия / Мамандықтар, кәсiптер
актёр	актёр	Профессии, занятия / Мамандықтар, кәсiптер
актриса	актриса	Профессии, занятия / Мамандықтар, кәсiптер
ақын	поэт	Профессии, занятия / Мамандықтар, кәсiптер
аңшы	охотник	Профессии, занятия / Мамандықтар, кәсiптер
