kaz	rus	category1
жағалау	идти берегом, идти вдоль	top-500
жағу	зажигать	top-500
жазалау	наказывать, карать	top-500
жазу	писать	top-100
жазылу	выздоравливать, записываться	top-500
жайлау	обитать, располагаться	top-500
жайнау	блестеть, сверкать	top-500
жайылу	простираться, раскидываться	top-500
жақтыру	одобрять	top-500
жақындау	приближаться	top-500
жалыну	умолять	top-500
жану	зажигаться, гореть	top-500
жаңғыру	обновляться, меняться	top-500
жарату	одобрять, употреблять	top-500
жарау	годиться, быть годным	top-100
жариялау	публиковать, обнародовать	top-500
жарқырау	сиять, сверкать	top-500
жару	колоть, разрывать	top-500
жарылу	раскалываться, разрываться	top-500
жарысу	соревноваться	top-500
жасалу	делаться, изготовляться	top-500
жасау	делать	top-100
жасыру	прятать, скрывать	top-500
жаттау	заучивать	top-500
жату	лежать	top-100
жауу	идти, выпадать осадки	top-500
жаю	расстилать, накрывать	top-500
желу	бежать трусцой	top-500
жеңу	побеждать	top-500
жеңілу	терпеть поражение, проигрывать	top-500
жеткізу	доставлять, доводить	top-500
жету	достигать	top-100
жеу	есть, кушать, жевать	top-100
жиналу	собираться	top-500
жинау	убирать, собирать	top-500
жирену жиіркену	брезговать, испытывать отвращение	top-500
жиылу	собираться, столпиться	top-500
жию	собирать, накоплять	top-100
жоғалу	теряться, пропадать	top-500
жоқтау	оплакивать	top-500
жору	бежать рысью, рыскать	top-500
жою	уничтожать, ликвидировать	top-500
жөндеу	ремонтировать, чинить	top-500
жөнелу	быть отправленным	top-100
жөнелту	отправлять, отсылать	top-500
жұбату	утешать, успокаивать	top-500
жұлу	вырывать, выщипывать	top-500
жұмсау	использовать, тратить	top-500
жұту	глотать, поглощать	top-500
жүгіру	бегать	top-500
жүдеу	тощать, исхудать	top-500
жүргізу	водить, вынуждать двигаться	top-500
жүру	ходить, двигаться	top-100
жығу	опрокидывать, побеждать	top-500
жығылу	сваливаться, повиноваться	top-500
жылау	плакать	top-100
жылжу	продвигаться, сдвигаться	top-500
жымию	улыбаться	top-500
жырлау	воспевать, слагать стихи	top-500
жырту	рвать, разрывать, пахать	top-500
жіберу	посылать, отправлять	top-100
зерттеу	исследовать, изучать	top-500
изеу	кивать	top-500
кездесу	встречаться	top-100
кезу	бродить, странствовать	top-500
кекету	иронизировать, насмехаться	top-500
келтіру	приводить, доставлять	top-500
келу	приходить, приезжать	top-100
келісу	договариваться, приезжать	top-500
кесу	резать	top-500
кету	уходить, уезжать	top-100
кетісу	вместе расходиться	top-500
кешу	прощать	top-500
кешігу	опаздывать, задерживаться	top-500
кешіру	прощать, переживать, испытывать	top-500
киіну	одеваться	top-500
кию	надевать	top-500
көбею	размножаться, увеличиваться	top-500
көну	соглашаться, слушаться	top-500
көптеу	делать сообща	top-500
көрсету	показывать	top-100
көрсетілу	показываться, проявляться	top-500
көру	видеть	top-100
көріну	показываться, виднеться	top-100
көрісу	видеться с кем-либо	top-500
көтеру	поднимать	top-100
көтерілу	подниматься	top-500
көшу	переезжать	top-500
көшіру	списывать, переселять	top-500
күлу	смеяться	top-100
күлісу	смеяться вместе	top-500
күңірену	омрачаться, мрачнеть	top-500
күрсіну	вздыхать	top-500
күту	ждать, ухаживать	top-100
күю	обжигаться, пригорать	top-500
кінәлау	винить, обвинять	top-500
кіргізу	пропускать, вводить	top-500
кіру	входить	top-100
кірісу	вмешиваться, приступать	top-500
қабу	стегать, кусать	top-500
қабылдау	принимать, одобрять	top-500
қадалу	втыкаться, вонзаться	top-500
қадау	втыкать, прикалывать, пришивать	top-500
қағу	выбивать, вытряхивать	top-100
қажу	утомляться, слабеть	top-500
қазу	копать, рыть	top-500
қайнау	кипеть	top-500
қайталау	повторять	top-500
қайтару	возвращать	top-500
қайту	возвращаться	top-100
қайыру	возвращать, давать сдачу	top-500
қалау	желать, возводить	top-500
қалдыру	оставлять	top-500
қалу	оставаться	top-100
қамау	окружать, осаждать, загонять	top-500
қану	напиваться, утолять жажду,  убеждаться	top-500
қаптау	обшивать, обёртывать	top-500
қарастыру	изыскивать, рассматривать	top-500
қарасу	переглядываться	top-500
қарау	смотреть, глядеть	top-100
қараю	темнеть, чернеть	top-500
қартаю	стареть	top-500
қатысу	принимать участие	top-500
қату	замерзать, леденеть, твердеть	top-100
қашу	убегать	top-100
қиналу	мучиться, затрудняться	top-500
қинау	мучить, истязать	top-500
қию	резать, срезать	top-500
қозғау	двигать, шевелить	top-500
қозғалту	расшевеливать	top-500
қойылу	ставиться, сгущаться	top-500
қолдану	использовать, применять	top-500
қолдау	одобрять, поддерживать	top-500
қону	приземляться, спускаться	top-500
қорғау	охранять, защищать	top-500
қорқу	бояться, пугаться	top-500
қорқыту	пугать, устрашать	top-500
қоршау	огораживать, окружать	top-500
қорыту	подытоживать, обобщать	top-500
қостау	одобрять, поддерживать	top-500
қосу	включать, добавлять	top-100
қосылу	присоединяться	top-100
қоштасу	прощаться	top-500
қою	класть, ставить	top-100
қуану	радоваться, ликовать	top-500
қуу	гнать, прогонять	top-100
құлау	падать	top-500
құптау	поддерживать, одобрять	top-500
құралу	составляться, копиться	top-500
құрау	составлять, собирать, копить	top-500
құрту	уничтожать	top-500
құру	строить, воздвигать	top-500
құру	вымирать, пропадать	top-500
құрылу	строиться, воздвигаться	top-500
құтқару	спасать, выручать	top-500
құтылу	избавляться, спасаться	top-500
құтыру	неистовствовать	top-500
құшақтау	обнимать	top-500
құю	лить, наливать	top-500
қызару	краснеть	top-500
қызу	нагреваться	top-500
қызығу	интересоваться, увлекаться	top-500
қылу	делать, совершать действие	top-100
қыру	брить, скоблить	top-500
қысу	жать, прижимать	top-500
қысылу	стесняться, быть зажатым	top-500
мақтану	хвалиться	top-500
мақтау	хвалить	top-500
молаю	увеличиваться	top-500
мықтау	укреплять	top-500
міну	садиться верхом, ездить	top-100
нұсқау	сигнализировать, указывать	top-500
озу	опережать, обгонять	top-500
ойлану	обдумывать, размышлять	top-500
ойлау	думать	top-100
ойнау	играть	top-100
оқу	читать, учиться	top-100
оқыту	обучать, побуждать читать	top-500
оралу	возвращаться, запутаться	top-500
орау	завёртывать	top-500
орналастыру	располагать, устраивать	top-500
орнату	воздвигать, строить	top-500
орнау	быть воздвигнутым,  устанавливаться	top-500
орындалу	быть выполненным	top-500
орындау	выполнять, исполнять	top-500
отыру	сидеть	top-100
ою	прорубать, вырезать	top-500
ояну	просыпаться	top-500
өзгерту	менять	top-500
өзгеру	изменяться	top-500
өкіну	сожалеть, каяться	top-500
өлтіру	убивать, лишать жизни	top-100
өлу	умиреть, скончаться	top-100
өлшеу	взвешивать	top-500
өндіру	производить, вырабатывать	top-500
өрлеу	подниматься, продвигаться	top-500
өртеу	поджигать	top-500
өсу	расти, вырастать	top-100
өсіру	растить, выращивать	top-500
өткізу	проводить время, реализовывать	top-500
өту	переходить	top-100
өтіну	просить, умолять	top-500
өшу	гаснуть, потухнуть	top-500
пайдалану	пользоваться	top-500
пісу	вариться, печься	top-500
сағыну	скучать	top-500
сайлау	выбирать	top-500
сақтау	беречь, сохранять	top-100
салу	класть, строить	top-100
салыну	строиться, воздвигаться	top-500
салыстыру	сравнивать, сверять	top-500
саналу	считаться, числиться	top-500
санау	считать	top-500
сасу	теряться, суетиться	top-500
сату	продавать	top-500
сезу	чувствовать, ощущать	top-500
секіру	прыгать, скакать	top-500
сену	верить, доверять	top-100
сескену	опасаться	top-500
сипау	гладить, сглаживать	top-500
сияқтану	уподобляться	top-500
соғу	бить, ударять, дуть	top-100
соғысу	воевать	top-500
созу	тянуть, протягивать	top-500
созылу	простираться, растягиваться	top-500
соқтығу	столкнуться, удариться, нападать	top-500
сою	колоть, резать, бить	top-500
сөйлесу	разговаривать	top-100
сөйлеу	говорить	top-100
сөйту	делать так	top-500
сөну	потухать, гаснуть	top-500
суреттеу	изображать, описывать	top-500
суыру	вынимать, выдергивать	top-500
сұрау	спрашивать	top-100
сүйену	опираться	top-500
сүйсіну	восхищаться, любоваться	top-500
сүйту	делать так	top-500
сүйеу	подпирать, поддерживать	top-500
сүру	тесать, строгать	top-500
сүю	любить, целовать	top-100
сыйлау	дарить, уважать	top-500
сынау	проверять, критиковать	top-500
сыну	сломаться	top-500
сыю	вмещаться, быть в пору	top-500
сілтеу	указывать, направлять	top-500
табу	находить, обнаруживать	top-100
табылу	найтись, обнаружиться	top-500
табысу	сойтись, найти друг друга	top-500
тақау	приближать, придвигать вплотную	top-500
таласу	спорить, бороться	top-500
талдау	анализировать	top-500
талу	терять сознание, неметь	top-500
тамашалау	развлекаться, любоваться	top-500
тану	отказываться, отрекаться	top-500
тану	познавать, признавать	top-100
танылу	быть опознанным	top-500
танысу	знакомиться	top-500
таныту	учить	top-500
таңдану	удивляться, восхищаться	top-500
таңдау	выбирать	top-500
тапсыру	сдавать	top-500
тарату	распространять, раздавать	top-500
тарау	расчёсывать	top-500
тарту	играть на инструменте, тянуть, курить	top-100
тастау	бросать, кидать	top-100
тасу	выходить из берегов, ликовать	top-500
тәрбиелеу	воспитывать	top-500
тәріздену	быть похожим	top-500
тебу	кататься, пинать	top-500
тексеру	проверять	top-500
тергеу	расследовать	top-500
теру	собирать, подбирать	top-500
тигізу	касаться, попадать	top-500
тию	трогать, касаться, задевать	top-100
тозу	изнашиваться, устаревать	top-500
тоқталу	останавливаться, прекращаться	top-500
тоқтату	задерживать, прекращать	top-500
тоқтау	останавливаться, переставать	top-100
толғану	обдумывать	top-500
толқу	волноваться, колыхаться	top-500
толу	наполняться, полнеть	top-500
тосу	ждать	top-500
тою	насыщаться	top-500
төгу	выливать, высыпать	top-500
төлеу	платить	top-500
төну	приближаться, нависать	top-500
туғызу	порождать, вызывать	top-500
тудыру	рожать, зарождать	top-500
туу	родить, рождаться	top-100
тұру	стоять, находиться, проживать	top-100
тұту	держать, ловить	top-500
түзеу	выправлять, исправлять	top-500
түйілу	сводить, давиться	top-500
түңілу	терять надежду, отворачиваться	top-500
түсу	спускаться, падать	top-100
түсіну	понимать	top-100
түсіру	ронять, опускать	top-500
түю	толочь, растирать	top-500
тығу	прятать, втыкать	top-500
тығылу	втыкаться, скрываться	top-500
тыну	затихать, успокаиваться	top-500
тыңдау	слушать	top-100
тырысу	стараться	top-500
тыю	прекращать, запрещать	top-500
тігу	шить	top-500
тізу	нанизывать, устанавливать в ряд	top-500
тілеу	желать	top-100
ұғу	понимать, вникать в суть	top-100
ұғыну	понимать, осмысливать	top-500
ұзау	отдаляться, отходить	top-500
ұйықтау	спать	top-500
ұқсау	быть похожим	top-500
ұмыту	забывать	top-500
ұмытылу	быть забытым, забываться	top-500
ұнату	одобрять, нравиться	top-500
ұнау	нравиться	top-500
ұру	бить, ударять	top-100
ұрысу	ругаться, ссориться	top-500
ұстату	держать	top-500
ұстау	держать, хватать	top-100
ұсыну	рекомендовать	top-500
ұшу	летать	top-100
ұшырау	попадать, подвергаться	top-500
ұшыру	вспугнуть, запустить	top-500
ұялу	стесняться, стыдиться	top-500
үзу	обрывать, прерывать	top-500
үзілу	обрываться, прерываться	top-500
үйлену	жениться	top-500
үйлесу	сходиться, гармонировать	top-500
үйрену	учиться, привыкать	top-500
үйрету	учить, обучать	top-500
үндеу	звучать, подавать голос	top-500
үңілу	всматриваться	top-500
үрку	пугаться	top-500
үру	дуть, лаять	top-500
үстелу	быть добавленным	top-500
шабу	скакать, косить, рубить	top-100
шағу	колоть, дробить, кусать	top-500
шайқау	раскачивать, трясти	top-500
шақырту	звать, приглашать	top-500
шақыру	приглашать	top-100
шалу	задевать, уловить	top-500
шашу	брызгать, рассыпать	top-500
шегу	курить, испытывать	top-500
шегіну	отступать, пятиться	top-500
шешу	развязывать, решать	top-100
шолу	обозревать, осматривать	top-500
шошу	пугаться, восполяться	top-500
шулау	шуметь	top-500
шығару	выводить, увольнять, издавать	top-100
шығу	выходить, появляться	top-100
шыдау	терпеть, переносить	top-500
шырқау	громко петь, прогрессировать	top-500
іздену	разыскивать, хлопотать	top-500
іздеу	искать, разыскивать	top-100
ілесу	следовать, идти следом	top-500
ілу	вешать, зацепить	top-500
іліну	зацепиться, повиснуть	top-500
ірку	задерживать, тормозить	top-500
іркілу	набегать, скапливаться	top-500
істелу	быть сделанным	top-500
істеу	выполнять, действовать	top-100
ішу	пить, кушать	top-100
