kaz	rus	top-list
жай	простой, обыкновенный, тихий  /просто, тихо, положение/	top-100
жайдақ	плоский, простой, неглубокий	top-500
жайлы	уютный, удобный, спокойный	top-500
жайсыз	неудобный, неудачный	top-500
жақсы	хороший   /хорошо/	top-100
жақын	близкий, недавний, родной  /недалеко, около/	top-100
жалаң	голый, без ничего	top-500
жалаңаш	голый, нагой, пустой	top-500
жалған	ложный, фиктивный	top-500
жалғас	примыкающий, последующий	top-500
жалғыз	одинокий	top-100
жалқау	ленивый   /бездельник/	top-500
жалпақ	плоский, широкий	top-500
жалынды	горящий, пылающий	top-500
жаман	плохой   /плохо/	top-100
жанды	живой, одушевленный	top-500
жан-жақты	всесторонний, подробный	top-500
жансыз	безжизненный, неодушевленный	top-500
жаңа	новый, свежий   /недавно/	top-100
жаңағы	упомянутый, тот самый	top-100
жаралы	раненый	top-500
жарқын	светлый, яркий, радушный	top-500
жарық	светлый, яркий   /свет/	top-500
жарым	полоумный   /половина/	top-100
жас	молодой, юный, свежий  /юность, годы, слеза/	top-100
жасыл	зелёный	top-500
жасырын	тайный, секретный, скрытый	top-500
жат	чужой, чуждый	top-100
жауапты	ответственный	top-500
жауыз	злобный, зловредный	top-500
жаяу	пеший   /пешком/	top-500
жеке	частный	top-100
жеңіл	лёгкий   /легко/	top-100
жергілікті	местный, коренной	top-500
жеткілікті	достаточный	top-500
жирен	рыжий	top-500
жиі	частый, густой   /часто, густо/	top-500
жоғарғы	верхний, высший, старший	top-500
жуан	толстый, полный	top-100
жуық	близкий, скорый  /близко, скоро/	top-500
жұқа	тонкий, лёгкий, слабый   /тонко/	top-500
жұмсақ	мягкий	top-500
жұпыны	скромный, бедный	top-500
жүдеу	худощавый, истощённый	top-500
жүзді	имеющий лицо	top-500
жүйрік	быстрый	top-500
жылдық	годовой	top-500
жылтыр	блестящий	top-500
жылы	тёплый, приятный   /тепло/	top-100
жынды	сумасшедший	top-500
жыртық	рваный, дырявый	top-500
жіңішке	тонкий, узкий	top-500
жіті	зоркий, энергичный	top-500
залым	вероломный, коварный, злой	top-500
зор	крупный, огромный	top-100
игі	хороший, чистосердечный, благой	top-500
иесіз	бесхозный, ничейный	top-500
кәдімгі	обыкновенный, настоящий, подлинный	top-500
кәрлі	яростный, свирепый	top-500
кәрі	старый, древний	top-100
кедей	бедный, скудный   /бедняк/	top-500
кейінгі	следующий, последний	top-100
келелі	кардинальный, узловой	top-500
келесі	следующий	top-500
кем	плохой, слабый   /меньше, хуже/	top-500
кемел	зрелый, достигший совершенства	top-500
кең	широкий, просторный, свободный  /широко, повсеместно, свободно/	top-100
кер	заносчивый, строптивый	top-500
керексіз	ненужный, ненадобный	top-500
керекті	нужный, необходимый	top-500
керемет	чудесный, дивный, прекрасный  /чудо, диво/	top-500
кертартпа	консервативный, отсталый	top-500
кешегі	вчерашний, былой	top-100
кешкі	вечерний	top-500
классикалық	классический	top-500
көк	синий зелёный   /небосвод/	top-100
көкшіл	голубоватый, лазурный	top-500
көлденең	поперечный, неожиданный	top-500
көлемді	объемный	top-500
көмескі	тусклый, нечеткий	top-500
көне	древний, старый, поношенный	top-500
көңілді	весёлый, радостный, оживлённый  /весело, радостно/	top-500
көңілсіз	невесёлый, безрадостный   /неприветливо/	top-500
көршілес	соседний, соседствующий	top-500
көп	многое  /много/	top-100
көркем	красивый, художественный	top-100
көрнекті	видный, солидный	top-500
көрікті	красивый внешне, миловидный	top-500
көтеріңкі	приподнятый, повышенный	top-500
көшпелі	кочевой, передвижной	top-500
күйлі	зажиточный, упитанный, мелодичный	top-500
күлдіргі	смешной, потешный, комический	top-500
күндегі	каждодневный, повседневный	top-500
күндізгі	дневной	top-500
күңгірт	тёмный, неясный, тусклый	top-500
күрделі	сложный, капитальный	top-500
күрең	бурый, мрачный	top-500
күшті	сильный, мощный	top-100
кінәлі	виноватый, виновный	top-500
кішкене	маленький, небольшой   /немного/	top-100
кішкентай	маленький   /малыш/	top-500
кіші	младший, малый	top-500
қадiрлi	уважаемый, авторитетный, ценный	top-500
қажеттi	нужный, необходимый	top-500
қажырлы	упорный, энергичный, смелый	top-500
қазіргі	данный, современный, текущий	top-100
қайғылы	печальный, скорбный	top-500
қайратты	волевой, бесстрашный	top-500
қайсар	волевой, стойкий, упорный	top-500
қайырлы	добрый, благополучный	top-500
қалалық	городской	top-500
қалыпты	обыкновенный, устойчивый	top-500
қалың	густой, частый, толстый	top-100
қамқор	заботливый, участливый  /покровитель, опекун/	top-500
қамтамасыз	обеспеченный	top-500
қанды	кровавый	top-500
қара	чёрный, сильный, простой	top-100
қараңғы	тёмный   /темнота, темно/	top-100
қарлы	снежный	top-500
қарсы	встречный   /напротив, наперекор/	top-100
қарт	старый   /старец/	top-500
қартаң	пожилой, престарелый	top-500
қарулы	вооруженный, сильный	top-500
қас	враждебный   /враг/	top-500
қасқа	лысый, несчастный	top-500
қасиетті	благородный, священный	top-500
қатал	жестокий, строгий, суровый	top-500
қатаң	жестокий, строгий   /жестко, строго/	top-500
қатты	твёрдый, сильный, громкий	top-100
қисық	кривой, неправильный, упрямый	top-500
қиын	трудный, тяжёлый   /тяжело/	top-100
қиял-ғажайып	волшебный, фантастический	top-500
қоғамдық	общественный	top-100
қолайлы	удобный, подходящий	top-500
қонымды	доступный, приятный	top-500
қоңыр	коричневый	top-100
қоңырқай	дымчато-серый, заурядный, простой	top-500
қор	униженный, оскорбленный	top-500
қорқақ	трусливый, боязливый   /трус/	top-500
қос	парный, двойной	top-500
қош	отличный, прекрасный   /отлично/	top-500
қою	густой   /гуща/	top-500
қу	хитрый, лукавый   /хитрец/	top-500
қуанышты	радостный, восторженный	top-500
құба	светло-жёлтый, светловолосый	top-500
құла	саврасый, сухой, голый, плоский	top-500
құнсыз	бесценный, неоценимый	top-500
құрама	сборный, составной, комбинированный	top-500
құрғақ	сухой, высохший   /суша/	top-500
құрметті	уважаемый, почётный	top-500
құтты	счастливый, удачливый, благодатный	top-500
құштар	влюбленный, увлеченный, страстный	top-500
қызғылт	розовый	top-500
қызу	активный, жаркий	top-500
қызулы	горячий	top-500
қызық	интересный, занимательный	top-100
қызықты	интересный   /интересно/	top-500
қызыл	красный	top-100
қымбат	дорогой, ценный	top-500
қымбатты	уважаемый, дорогой, ценный	top-500
қыңыр	капризный, упрямый	top-500
қырлы	гранёный, гранный	top-500
қысқа	короткий   /коротко/	top-100
қысқы	зимний	top-500
лайық	приемлемый, подходящий, достойный	top-500
лайықты	подобающий, должный, достойный	top-500
мағыналы	содержательный, значительный	top-500
майда	мелкий, нежный, вежливый	top-500
маңызды	важный, значительный, существенный	top-500
мас	пьяный, опьяненный	top-500
мәдени	культурный	top-500
мәдениетті	культурный	top-500
мәз	радостный, довольный	top-500
мәлім	известный	top-100
мейірімді	добрый, милосердный	top-500
мемлекеттік	государственный	top-100
меңіреу	безмолвный, глухонемой	top-500
мол	богатый, изобильный   /много, обильно/	top-100
момын	скромный, тихий, наивный	top-500
мөлдір	чистый, прозрачный	top-500
мұндай	такой, таковой	top-100
мұңды	печальный, грустный, горестный	top-500
мығым	крепкий, веский   /твёрдо, решительно/	top-500
мықты	сильный, мощный, крепкий	top-500
мынадай	такой, вот такой	top-500
міндетті	обязанный, обязательный	top-500
мінезді	имеющий характер	top-500
надан	невежественный   /невежда/	top-500
нақты	конкретный, точный, реальный	top-500
наразы	недовольный	top-500
нашар	плохой, слабый, бедный   /плохо/	top-500
нәзік	тонкий, нежный, утончённый	top-500
нәрлі	питательный, сытный	top-500
негізгi	основной	top-500
нұрлы	светлый, лучистый	top-500
озат	передовой, отличный	top-500
озғын	передовой, отличный	top-500
ойлы	умный, задумчивый	top-500
ойшыл	склонный к размышлениям  /мыслитель/	top-500
оқшау	обособленный, отдельный  /отдельно/	top-500
оқыс	внезапный  /внезапно, нечаянно/	top-500
олқы	слабый  /слабость, недостаток/	top-500
ондай	такой	top-100
оң	правый	top-100
оңай	лёгкий, несложный   /легко/	top-100
оңаша	уединенный   /отдельно/	top-100
орта	средний   /середина, среда/	top-500
ортақ	общий, совместный	top-500
орташа	средний   /посредственно/	top-500
орынды	местный, уместный   /уместно/	top-500
орынсыз	неуместный   /неуместно/	top-500
отты	огненный, пламенный	top-500
осындай	такой же, подобный	top-100
өжет	настойчивый, упорный, смелый	top-500
өзге	другой, иной, чужой	top-100
өзгеше	особенный   /особо, иначе/	top-100
өздік	возвратный	top-500
өзіндік	оригинальный, собственный	top-500
өлі	мертвый, умерший	top-500
өмірлік	жизненный, пожизненный	top-500
өндірістік	производственный	top-500
өнерлі	умелый, искусный   /умелец/	top-500
өнімді	продуктивный, производительный	top-500
өрескел	грубый, вульгарный	top-500
өскелең	плодовитый, быстрорастущий	top-500
өткір	смелый, бойкий, острый	top-500
өш	падкий, приверженный   /месть/	top-500
пайдалы	полезный, выгодный   /полезно/	top-500
панасыз	беспризорный, беззащитный	top-500
пысық	шустрый, расторопный	top-500
разы	довольный, согласный	top-500
рас	правдивый, истинный   /правда/	top-100
риза	благодарный, довольный	top-500
рухани	духовный	top-500
сабырлы	спокойный, терпеливый  /спокойно, терпеливо/	top-500
сай	подходящий, соответствующий	top-500
сақ	осторожный, бдительный, чуткий	top-500
сақалды	бородатый	top-500
салқын	холодный, прохладный  /холодно, прохладно/	top-100
салмақты	серьёзный, солидный, увесистый  /серьёзно, солидно/	top-500
салтанатты	торжественный, парадный, роскошный	top-500
саналы	сознательный	top-500
сансыз	бесчисленный, несчётный	top-500
сапалы	качественный	top-500
сар	стремительный	top-500
сараң	жадный, скупой   /скряга/	top-500
сарғыш	желтоватый	top-500
сары	жёлтый	top-100
сау	здоровый	top-500
саяси	политический	top-500
сәнді	модный, нарядный	top-500
семіз	толстый, тучный, жирный	top-500
сенімді	верный, надёжный, уверенный  /уверенно/	top-500
сергек	бодрый, живой, бдительный	top-500
сирек	редкий   /редко/	top-500
содыр	озорной, драчливый   /озорник/	top-500
соқыр	слепой   /слепец/	top-500
сол	левый	top-500
сондай	такой	top-100
соны	девственный, нетронутый, новый	top-500
соңғы	последний	top-100
сорақы	несуразный, нелепый	top-500
сорлы	бедный, несчастный   /бедняга/	top-500
сотқар	драчливый   /драчун, задира/	top-500
суретті	иллюстрированный	top-500
суық	холодный   /холод, холодно/	top-100
сұлу	красивый   /красавец, красавица/	top-100
сұм	коварный, вероломный   /плут, подлец/	top-500
сұңғақ	стройный, статный	top-500
сұрғылт	сероватый, бледноватый	top-500
сұр	серый	top-500
сүйкімді	симпатичный, приятный	top-500
сүйікті	любимый, милый	top-500
сынық	сломанный, разбитый   /осколок/	top-500
сыншыл	критикующий, склонный к критике	top-500
сыпайы	скромный, вежливый	top-500
сыртқы	наружный, внешний	top-500
тағы	нелюдимый, дикий	top-500
таза	чистый	top-100
тақ	отдельный, нечётный	top-500
талапты	целеустремленный, инициативный	top-500
тамаша	замечательный, великолепный	top-500
таныс	знакомый	top-500
таңдаулы	отборный, избранный, элитный	top-500
таңертеңгі	утренний	top-500
тапқыр	находчивый, остроумный	top-500
таптық	классовый	top-500
тар	узкий, тесный	top-500
тарихи	исторический	top-500
тату	дружный, мирный   /мирно/	top-500
таяу	ближайший   /близко/	top-500
тәжірибелі	опытный	top-500
тәтті	сладкий, вкусный	top-500
тәуір	дельный, приличный   /прилично/	top-500
тегін	бесплатный   /бесплатно/	top-500
тегіс	ровный, гладкий	top-500
тентек	избалованный, озорной   /озорник/	top-500
тең	равный	top-100
терең	глубокий	top-100
теріс	неправильный, отрицательный	top-100
тиімді	оптимальный, выгодный, удобный	top-500
тоқ	сытый, упитанный	top-500
толы	полный, наполненный	top-500
толық	полный, подробный, детальный  /полностью, подробно/	top-100
торы	гнедой	top-500
төменгі	нижний, нижеследующий	top-500
тура	прямой, справедливый	top-100
тұңғиық	глубокий, тёмный, мрачный	top-500
тұңғыш	первый, первоначальный   /первенец/	top-500
тұрақты	постоянный, устойчивый, местный	top-500
тұтас	сплошной, цельный;   /целиком/	top-500
түзу	прямой, ровный, правильный,  честный   /прямо, честно/	top-500
түнгі	ночной	top-500
түрлі	разный, различный	top-100
түсті	цветный	top-500
түсініксіз	неясный, непонятный   /непонятно/	top-500
түсінікті	ясный, понятный   /ясно, прямо/	top-500
тығыз	плотный, густой, срочный  /плотно, срочно/	top-500
тынымсыз	беспокойный, беспрерывный  /беспрерывно/	top-500
тыныш	тихий, спокойный   /покой, тихо/	top-500
тың	бодрый, крепкий, оригинальный	top-500
тік	прямой, резкий   /прямо/	top-500
тілеулес	сочувствующий, солидарный	top-500
тірі	живой	top-500
ұғымсыз	непонятливый   /непонятно/	top-500
ұзақ	долгий, дальний	top-100
ұзын	длинный	top-100
ұқсас	похожий, аналогичный	top-500
ұлттық	национальный	top-500
ұлы	великий	top-100
ұсақ	мелкий	top-500
үлгілі	образцовый, показательный;	top-500
үлкен	большой	top-100
үнсіз	безмолвный, беззвучный   /безмолвно/	top-100
үстем	господствующий, доминирующий;	top-500
халықаралық	международный	top-500
халықтық	народный	top-500
шабытты	вдохновенный   /вдохновенно/	top-500
шағын	небольшой, малый	top-500
шала	половинчатый   /наполовину/	top-500
шексіз	бесконечный, бескрайний	top-500
шеткі	крайний, отдаленный	top-500
ширақ	живой, бодрый   /живо, бодро/	top-500
шолақ	короткий, недалекий	top-500
шұбар	пятнистый, рябой	top-500
шын	истинный, настоящий   /правда/	top-100
шынайы	истинный, искренний	top-500
шыншыл	правдивый, искренний	top-500
ызалы	агрессивный, разъярённый	top-500
ырза	довольный, согласный	top-500
ыстық	горячий, жаркий   /горячо, жарко/	top-100
ірі	крупный, грандиозный	top-100
ішкі	внутренний	top-500
