eng	grade
articulate	Grade-11
astute	Grade-11
authoritarian	Grade-11
aversion	Grade-11
biased	Grade-11
brevity	Grade-11
cajole	Grade-11
callous	Grade-11
capitulate	Grade-11
catalyst	Grade-11
catharsis	Grade-11
caustic	Grade-11
censure	Grade-11
chastise	Grade-11
clamor	Grade-11
coalesce	Grade-11
cognizant	Grade-11
commiserate	Grade-11
composure	Grade-11
conciliatory	Grade-11
contract	Grade-11
copious	Grade-11
cordial	Grade-11
dearth	Grade-11
debilitate	Grade-11
decadence	Grade-11
deference	Grade-11
delineate	Grade-11
deprecate	Grade-11
despot	Grade-11
devious	Grade-11
didactic	Grade-11
disparage	Grade-11
dissonance	Grade-11
duplicity	Grade-11
edifice	Grade-11
effervescent	Grade-11
egregious	Grade-11
elusive	Grade-11
equivocal	Grade-11
erroneous	Grade-11
exemplary	Grade-11
expedient	Grade-11
extraneous	Grade-11
formidable	Grade-11
frivolous	Grade-11
grueling	Grade-11
haphazard	Grade-11
heretic	Grade-11
hindrance	Grade-11
hypocrisy	Grade-11
iconoclast	Grade-11
incessant	Grade-11
incidental	Grade-11
incite	Grade-11
incorrigible	Grade-11
indict	Grade-11
indoctrinate	Grade-11
insurgent	Grade-11
intangible	Grade-11
judicious	Grade-11
lavish	Grade-11
listless	Grade-11
meager	Grade-11
meander	Grade-11
negligent	Grade-11
obliterate	Grade-11
ponderous	Grade-11
preclude	Grade-11
prerequisite	Grade-11
proximity	Grade-11
rectify	Grade-11
rescind	Grade-11
resolution	Grade-11
rigorous	Grade-11
scrutinize	Grade-11
substantiate	Grade-11
surmise	Grade-11
tirade	Grade-11
turbulence	Grade-11
unimpeachable	Grade-11
unobtrusive	Grade-11
usurp	Grade-11
vacillate	Grade-11
whimsical	Grade-11
abbreviate	Grade-12
abdicate	Grade-12
abstinence	Grade-12
adulation	Grade-12
adversity	Grade-12
aesthetic	Grade-12
amicable	Grade-12
anachronistic	Grade-12
anecdote	Grade-12
anonymous	Grade-12
antagonist	Grade-12
arid	Grade-12
assiduous	Grade-12
asylum	Grade-12
benevolent	Grade-12
camaraderie	Grade-12
censure	Grade-12
circuitous	Grade-12
clairvoyant	Grade-12
collaborate	Grade-12
compassion	Grade-12
compromise	Grade-12
condescending	Grade-12
conditional	Grade-12
conformist	Grade-12
congregation	Grade-12
convergence	Grade-12
deleterious	Grade-12
demagogue	Grade-12
digression	Grade-12
diligent	Grade-12
discredit	Grade-12
disdain	Grade-12
divergent	Grade-12
empathy	Grade-12
emulate	Grade-12
enervating	Grade-12
enhance	Grade-12
ephemeral	Grade-12
evanescent	Grade-12
exasperation	Grade-12
exemplary	Grade-12
extenuating	Grade-12
florid	Grade-12
fortuitous	Grade-12
frugal	Grade-12
hackneyed	Grade-12
haughty	Grade-12
hedonist	Grade-12
hypothesis	Grade-12
impetuous	Grade-12
impute	Grade-12
incompatible	Grade-12
inconsequential	Grade-12
inevitable	Grade-12
integrity	Grade-12
intrepid	Grade-12
intuitive	Grade-12
jubilation	Grade-12
lobbyist	Grade-12
longevity	Grade-12
mundane	Grade-12
nonchalant	Grade-12
novice	Grade-12
opulent	Grade-12
orator	Grade-12
ostentatious	Grade-12
parched	Grade-12
perfidious	Grade-12
precocious	Grade-12
pretentious	Grade-12
procrastinate	Grade-12
prosaic	Grade-12
prosperity	Grade-12
provocative	Grade-12
prudent	Grade-12
querulous	Grade-12
rancorous	Grade-12
reclusive	Grade-12
reconciliation	Grade-12
renovation	Grade-12
resilient	Grade-12
restrained	Grade-12
reverence	Grade-12
sagacity	Grade-12
scrutinize	Grade-12
spontaneity	Grade-12
spurious	Grade-12
submissive	Grade-12
substantiate	Grade-12
subtle	Grade-12
superficial	Grade-12
superfluous	Grade-12
suppress	Grade-12
surreptitious	Grade-12
tactful	Grade-12
tenacious	Grade-12
transient	Grade-12
venerable	Grade-12
vindicate	Grade-12
wary	Grade-12
zealot	Grade-12
amaze	Grade-2
amusing	Grade-2
analyze	Grade-2
annoy	Grade-2
arranged	Grade-2
avoid	Grade-2
cause	Grade-2
classify	Grade-2
community	Grade-2
conclusion	Grade-2
connection	Grade-2
continue	Grade-2
cooperation	Grade-2
curious	Grade-2
cycle	Grade-2
data	Grade-2
describe	Grade-2
detail	Grade-2
diagram	Grade-2
difference	Grade-2
different	Grade-2
discover	Grade-2
drowsy	Grade-2
edit	Grade-2
effect	Grade-2
energy	Grade-2
enormous	Grade-2
escape	Grade-2
estimate	Grade-2
exercise	Grade-2
expect	Grade-2
famous	Grade-2
flock	Grade-2
friendly	Grade-2
frighten	Grade-2
frown	Grade-2
gasp	Grade-2
gather	Grade-2
gust	Grade-2
helpful	Grade-2
include	Grade-2
insist	Grade-2
investigate	Grade-2
label	Grade-2
leaned	Grade-2
living	Grade-2
march	Grade-2
matter	Grade-2
moist	Grade-2
necessary	Grade-2
non-living	Grade-2
noticed	Grade-2
observed	Grade-2
opinion	Grade-2
peeking	Grade-2
plan	Grade-2
poke	Grade-2
predict	Grade-2
prefer	Grade-2
process	Grade-2
publish	Grade-2
records	Grade-2
revise	Grade-2
separate	Grade-2
shivered	Grade-2
similar	Grade-2
steaming	Grade-2
stormy	Grade-2
sum	Grade-2
suppose	Grade-2
sway	Grade-2
swoop	Grade-2
treasure	Grade-2
vanish	Grade-2
volunteer	Grade-2
additional	Grade-3
agreeable	Grade-3
argue	Grade-3
arrange	Grade-3
assist	Grade-3
attract	Grade-3
careless	Grade-3
cause	Grade-3
climate	Grade-3
coast	Grade-3
compare	Grade-3
construct	Grade-3
continent	Grade-3
contrast	Grade-3
credit	Grade-3
culture	Grade-3
dangle	Grade-3
defend	Grade-3
describe	Grade-3
details	Grade-3
develop	Grade-3
diagram	Grade-3
disappointed	Grade-3
division	Grade-3
effect	Grade-3
elect	Grade-3
endangered	Grade-3
event	Grade-3
examine	Grade-3
example	Grade-3
experience	Grade-3
fatal	Grade-3
flexible	Grade-3
furious	Grade-3
gathered	Grade-3
gist	Grade-3
infer	Grade-3
intelligent	Grade-3
invitation	Grade-3
irritate	Grade-3
marine	Grade-3
mend	Grade-3
multiply	Grade-3
nervous	Grade-3
occur	Grade-3
opposite	Grade-3
passage	Grade-3
patient	Grade-3
peer	Grade-3
persuade	Grade-3
pleasant	Grade-3
prank	Grade-3
predict	Grade-3
purpose	Grade-3
recognize	Grade-3
region	Grade-3
repair	Grade-3
ridiculous	Grade-3
scar	Grade-3
scatter	Grade-3
shiver	Grade-3
signal	Grade-3
similar	Grade-3
slumber	Grade-3
solution	Grade-3
starve	Grade-3
stumble	Grade-3
tackle	Grade-3
tentacle	Grade-3
typical	Grade-3
unite	Grade-3
unusual	Grade-3
valuable	Grade-3
vehicle	Grade-3
volunteer	Grade-3
accomplish	Grade-4
adaptation	Grade-4
approached	Grade-4
argued	Grade-4
automatically	Grade-4
avoid	Grade-4
border	Grade-4
calculate	Grade-4
cause	Grade-4
circular	Grade-4
compare	Grade-4
concluding	Grade-4
confirm	Grade-4
contrast	Grade-4
convince	Grade-4
critical	Grade-4
decrease	Grade-4
defend	Grade-4
demonstrate	Grade-4
describe	Grade-4
detail	Grade-4
develop	Grade-4
difference	Grade-4
disappointed	Grade-4
distribute	Grade-4
effective	Grade-4
eliminate	Grade-4
entirety	Grade-4
essential	Grade-4
estimate	Grade-4
evidence	Grade-4
example	Grade-4
except	Grade-4
exclaimed	Grade-4
experiment	Grade-4
flexible	Grade-4
fortunate	Grade-4
frequent	Grade-4
furious	Grade-4
increasing	Grade-4
infer	Grade-4
inform	Grade-4
insert	Grade-4
maximum	Grade-4
minimum	Grade-4
observe	Grade-4
obvious	Grade-4
organized	Grade-4
passage	Grade-4
persuade	Grade-4
predict	Grade-4
prediction	Grade-4
prefer	Grade-4
previous	Grade-4
purpose	Grade-4
rarely	Grade-4
reason	Grade-4
recognize	Grade-4
recommend	Grade-4
represent	Grade-4
result	Grade-4
scarce	Grade-4
select	Grade-4
separate	Grade-4
simplify	Grade-4
summarize	Grade-4
support	Grade-4
surround	Grade-4
temporary	Grade-4
threatens	Grade-4
tradition	Grade-4
typical	Grade-4
usually	Grade-4
abolish	Grade-5
accomplish	Grade-5
accurate	Grade-5
announce	Grade-5
anxious	Grade-5
approach	Grade-5
approval	Grade-5
approximate	Grade-5
argument	Grade-5
avoid	Grade-5
briskly	Grade-5
cease	Grade-5
claim	Grade-5
conclude	Grade-5
conflict	Grade-5
consistent	Grade-5
context	Grade-5
convince	Grade-5
culture	Grade-5
decade	Grade-5
dissatisfied	Grade-5
dominate	Grade-5
drowsy	Grade-5
edible	Grade-5
effortless	Grade-5
equivalent	Grade-5
escalate	Grade-5
establish	Grade-5
evaluate	Grade-5
evidence	Grade-5
exhaust	Grade-5
expansion	Grade-5
expectation	Grade-5
explain	Grade-5
express	Grade-5
extend	Grade-5
familiar	Grade-5
frequent	Grade-5
gigantic	Grade-5
gist	Grade-5
glare	Grade-5
harsh	Grade-5
heroic	Grade-5
hesitate	Grade-5
hilarious	Grade-5
historic	Grade-5
horizontal	Grade-5
hostile	Grade-5
huddle	Grade-5
identify	Grade-5
illegible	Grade-5
immigrate	Grade-5
influence	Grade-5
investigate	Grade-5
navigate	Grade-5
opposed	Grade-5
ordinary	Grade-5
passage	Grade-5
persuade	Grade-5
primary	Grade-5
recently	Grade-5
reference	Grade-5
review	Grade-5
revolt	Grade-5
scarce	Grade-5
significant	Grade-5
source	Grade-5
summarize	Grade-5
superior	Grade-5
tension	Grade-5
tolerate	Grade-5
tremble	Grade-5
unexpected	Grade-5
unfamiliar	Grade-5
vertical	Grade-5
accumulate	Grade-6
adapt	Grade-6
adequate	Grade-6
adjacent	Grade-6
analyze	Grade-6
anticipate	Grade-6
appropriate	Grade-6
artifact	Grade-6
benefit	Grade-6
calculate	Grade-6
catastrophe	Grade-6
chronological	Grade-6
citizen	Grade-6
civilization	Grade-6
compose	Grade-6
conclusion	Grade-6
congruent	Grade-6
consequence	Grade-6
construct	Grade-6
continuous	Grade-6
contrast	Grade-6
contribute	Grade-6
declare	Grade-6
democracy	Grade-6
dimension	Grade-6
drastic	Grade-6
elaborate	Grade-6
encourage	Grade-6
equation	Grade-6
evaluate	Grade-6
exaggerate	Grade-6
exhaust	Grade-6
expression	Grade-6
extend	Grade-6
extensive	Grade-6
factor	Grade-6
ferocious	Grade-6
frequency	Grade-6
frequent	Grade-6
genuine	Grade-6
government	Grade-6
history	Grade-6
hypothesis	Grade-6
insists	Grade-6
irrigate	Grade-6
lofty	Grade-6
manipulate	Grade-6
massive	Grade-6
narrate	Grade-6
obedient	Grade-6
oblivious	Grade-6
origin	Grade-6
peculiar	Grade-6
persuade	Grade-6
prediction	Grade-6
priority	Grade-6
quote	Grade-6
realistic	Grade-6
recount	Grade-6
reinforce	Grade-6
repetition	Grade-6
retrieve	Grade-6
similar	Grade-6
solution	Grade-6
strategy	Grade-6
substitute	Grade-6
suspense	Grade-6
tentative	Grade-6
thesis	Grade-6
transfer	Grade-6
unanimous	Grade-6
unique	Grade-6
variable	Grade-6
viewpoint	Grade-6
violate	Grade-6
abdicate	Grade-7
abrasive	Grade-7
abruptly	Grade-7
acknowledge	Grade-7
acquire	Grade-7
addict	Grade-7
adequate	Grade-7
admonish	Grade-7
affiliation	Grade-7
agitate	Grade-7
allege	Grade-7
allocate	Grade-7
alternative	Grade-7
amendment	Grade-7
antagonize	Grade-7
attribute	Grade-7
authentic	Grade-7
bamboozle	Grade-7
belligerent	Grade-7
bewilder	Grade-7
bewildered	Grade-7
bias	Grade-7
boycott	Grade-7
cause	Grade-7
characterize	Grade-7
chronological	Grade-7
compel	Grade-7
competent	Grade-7
component	Grade-7
conclusive	Grade-7
concur	Grade-7
condemn	Grade-7
condor	Grade-7
confront	Grade-7
connotation	Grade-7
consecutive	Grade-7
consult	Grade-7
contrast	Grade-7
copious	Grade-7
correspond	Grade-7
dawdle	Grade-7
deceitful	Grade-7
demeanor	Grade-7
derogatory	Grade-7
devastate	Grade-7
devious	Grade-7
devour	Grade-7
diversity	Grade-7
eligible	Grade-7
emphasize	Grade-7
estimate	Grade-7
evaluate	Grade-7
exonerated	Grade-7
exposition	Grade-7
exuberant	Grade-7
famished	Grade-7
formidable	Grade-7
impartial	Grade-7
indifferent	Grade-7
industrious	Grade-7
inevitable	Grade-7
infuriate	Grade-7
inhabitants	Grade-7
initiate	Grade-7
intimidate	Grade-7
irate	Grade-7
irrelevant	Grade-7
legendary	Grade-7
liaison	Grade-7
libel	Grade-7
ludicrous	Grade-7
mandatory	Grade-7
mitigate	Grade-7
naive	Grade-7
narrate	Grade-7
necessity	Grade-7
negligent	Grade-7
obnoxious	Grade-7
omit	Grade-7
opposition	Grade-7
oppress	Grade-7
perceive	Grade-7
persuasive	Grade-7
prediction	Grade-7
prominent	Grade-7
prospective	Grade-7
punctual	Grade-7
quote	Grade-7
relinquish	Grade-7
resolve	Grade-7
rudimentary	Grade-7
signify	Grade-7
sovereign	Grade-7
suspense	Grade-7
talisman	Grade-7
tentative	Grade-7
toxic	Grade-7
treason	Grade-7
viewpoint	Grade-7
abhor	Grade-8
abrasive	Grade-8
alternative	Grade-8
ambiguous	Grade-8
amiss	Grade-8
anarchy	Grade-8
anonymous	Grade-8
anthology	Grade-8
apathy	Grade-8
apprehend	Grade-8
assimilate	Grade-8
assumption	Grade-8
audacious	Grade-8
authority	Grade-8
avid	Grade-8
ban	Grade-8
belligerent	Grade-8
bisect	Grade-8
bizarre	Grade-8
boycott	Grade-8
capable	Grade-8
cause	Grade-8
characterize	Grade-8
chronological	Grade-8
commence	Grade-8
compels	Grade-8
concise	Grade-8
conclude	Grade-8
confiscate	Grade-8
conjecture	Grade-8
conscientious	Grade-8
consecutive	Grade-8
consistent	Grade-8
construct	Grade-8
contrast	Grade-8
corroborate	Grade-8
depict	Grade-8
derive	Grade-8
despicable	Grade-8
despondent	Grade-8
elapse	Grade-8
embark	Grade-8
encompass	Grade-8
endeavor	Grade-8
evidence	Grade-8
evoke	Grade-8
feasible	Grade-8
focus	Grade-8
formula	Grade-8
generation	Grade-8
gruesome	Grade-8
imminent	Grade-8
impel	Grade-8
imperative	Grade-8
inspire	Grade-8
integrate	Grade-8
interrogate	Grade-8
merge	Grade-8
modify	Grade-8
mutiny	Grade-8
narrate	Grade-8
novice	Grade-8
obsolete	Grade-8
opposition	Grade-8
perish	Grade-8
perspective	Grade-8
persuasive	Grade-8
plagiarize	Grade-8
precise	Grade-8
prediction	Grade-8
prevalent	Grade-8
procedure	Grade-8
profound	Grade-8
proprietor	Grade-8
prudent	Grade-8
pseudonym	Grade-8
quote	Grade-8
rebel	Grade-8
rebuff	Grade-8
rebuke	Grade-8
recur	Grade-8
resilient	Grade-8
response	Grade-8
reverberate	Grade-8
significant	Grade-8
similar	Grade-8
simulate	Grade-8
simultaneous	Grade-8
source	Grade-8
specific	Grade-8
spontaneous	Grade-8
surmise	Grade-8
theory	Grade-8
tirade	Grade-8
universal	Grade-8
validate	Grade-8
variable	Grade-8
absolve	Grade-9
alleviate	Grade-9
alternative	Grade-9
ambivalent	Grade-9
analyze	Grade-9
animosity	Grade-9
approximate	Grade-9
arbitrary	Grade-9
attribute	Grade-9
beneficial	Grade-9
comprehensive	Grade-9
connotation	Grade-9
contrast	Grade-9
credible	Grade-9
cursory	Grade-9
cynic	Grade-9
dearth	Grade-9
deficient	Grade-9
demonstrate	Grade-9
depict	Grade-9
derive	Grade-9
detract	Grade-9
devastate	Grade-9
digress	Grade-9
dilemma	Grade-9
diligent	Grade-9
dissent	Grade-9
distort	Grade-9
diversion	Grade-9
elation	Grade-9
elicit	Grade-9
elude	Grade-9
escalate	Grade-9
evaluate	Grade-9
exacerbate	Grade-9
excerpt	Grade-9
exemplify	Grade-9
explicit	Grade-9
exposition	Grade-9
falter	Grade-9
feasible	Grade-9
feign	Grade-9
fluctuate	Grade-9
formulate	Grade-9
generate	Grade-9
gist	Grade-9
hypothetical	Grade-9
impartial	Grade-9
implausible	Grade-9
implication	Grade-9
imply	Grade-9
incentive	Grade-9
incoherent	Grade-9
indolent	Grade-9
infamous	Grade-9
infuriate	Grade-9
innovation	Grade-9
intercede	Grade-9
interpret	Grade-9
intimidate	Grade-9
isolate	Grade-9
jeopardize	Grade-9
lucrative	Grade-9
mandatory	Grade-9
mediate	Grade-9
mortify	Grade-9
niche	Grade-9
obscure	Grade-9
obsolete	Grade-9
pacify	Grade-9
perception	Grade-9
perspective	Grade-9
pertinent	Grade-9
ponder	Grade-9
prevalent	Grade-9
proponent	Grade-9
punitive	Grade-9
rapport	Grade-9
rationale	Grade-9
reconcile	Grade-9
redundant	Grade-9
respective	Grade-9
retaliate	Grade-9
sabotage	Grade-9
scrutiny	Grade-9
simulate	Grade-9
squander	Grade-9
succumb	Grade-9
tangible	Grade-9
technique	Grade-9
traumatic	Grade-9
turmoil	Grade-9
valid	Grade-9
verify	Grade-9
viable	Grade-9
vulnerable	Grade-9
